日付け,終値,始値,高値,安値,前日比%
2020年7月16日,1.2549,1.2584,1.2625,1.252,-0.25%
2020年7月15日,1.258,1.2552,1.2651,1.2548,0.26%
2020年7月14日,1.2548,1.2558,1.2567,1.2479,-0.03%
2020年7月13日,1.2552,1.2612,1.2667,1.255,-0.54%
2020年7月10日,1.262,1.2607,1.2665,1.2566,0.13%
2020年7月9日,1.2604,1.2614,1.2671,1.26,-0.04%
2020年7月8日,1.2609,1.2542,1.2624,1.2508,0.55%
2020年7月7日,1.254,1.2492,1.2593,1.2463,0.39%
2020年7月6日,1.2491,1.2485,1.2521,1.2459,0.06%
2020年7月3日,1.2483,1.2465,1.2494,1.2437,0.14%
2020年7月2日,1.2466,1.2476,1.2531,1.2456,-0.03%
2020年7月1日,1.247,1.2401,1.2492,1.2358,0.57%
2020年6月30日,1.2399,1.2298,1.2402,1.2257,0.84%
2020年6月29日,1.2296,1.234,1.2391,1.2251,-0.30%
2020年6月26日,1.2333,1.2421,1.2438,1.2313,-0.65%
2020年6月25日,1.2414,1.2419,1.2465,1.2388,-0.03%
2020年6月24日,1.2418,1.2521,1.2543,1.2414,-0.80%
2020年6月23日,1.2518,1.2467,1.2533,1.2431,0.46%
2020年6月22日,1.2461,1.2356,1.2478,1.2335,0.85%
2020年6月19日,1.2356,1.2421,1.2457,1.2343,-0.55%
2020年6月18日,1.2424,1.2556,1.2568,1.2401,-1.04%
2020年6月17日,1.2554,1.2573,1.2589,1.251,-0.16%
2020年6月16日,1.2574,1.2605,1.2688,1.2553,-0.22%
2020年6月15日,1.2602,1.2531,1.2608,1.2454,0.49%
2020年6月12日,1.254,1.2601,1.2655,1.2473,-0.48%
2020年6月11日,1.26,1.2745,1.2756,1.2586,-1.14%
2020年6月10日,1.2745,1.2731,1.2814,1.2706,0.13%
2020年6月9日,1.2729,1.2723,1.2757,1.2617,0.06%
2020年6月8日,1.2722,1.2681,1.2737,1.2628,0.47%
2020年6月5日,1.2663,1.2607,1.2732,1.2582,0.55%
2020年6月4日,1.2594,1.2576,1.2634,1.25,0.17%
2020年6月3日,1.2572,1.255,1.2616,1.2544,0.18%
2020年6月2日,1.2549,1.2501,1.2577,1.2478,0.46%
2020年6月1日,1.2492,1.2339,1.2507,1.2322,1.20%
2020年5月29日,1.2344,1.232,1.2395,1.2291,0.23%
2020年5月28日,1.2316,1.2261,1.2345,1.2234,0.54%
2020年5月27日,1.225,1.2332,1.2355,1.2205,-0.66%
2020年5月26日,1.2331,1.219,1.2364,1.2179,1.22%
2020年5月25日,1.2182,1.2179,1.2205,1.2163,0.15%
2020年5月22日,1.2164,1.2226,1.2242,1.2161,-0.47%
2020年5月21日,1.2222,1.224,1.225,1.2185,-0.14%
2020年5月20日,1.2239,1.2241,1.2289,1.2221,-0.10%
2020年5月19日,1.2251,1.2194,1.2297,1.2184,0.51%
2020年5月18日,1.2189,1.2086,1.2228,1.2075,0.70%
2020年5月15日,1.2104,1.2222,1.2239,1.2101,-1.00%
2020年5月14日,1.2226,1.2231,1.2242,1.2165,-0.02%
2020年5月13日,1.2229,1.226,1.2341,1.221,-0.24%
2020年5月12日,1.2259,1.2334,1.2377,1.2255,-0.62%
2020年5月11日,1.2335,1.2406,1.2438,1.2284,-0.58%
2020年5月8日,1.2407,1.2364,1.2469,1.235,0.37%
2020年5月7日,1.2361,1.2347,1.2418,1.2265,0.16%
2020年5月6日,1.2341,1.2435,1.2451,1.2335,-0.75%
2020年5月5日,1.2434,1.2443,1.2485,1.2421,-0.06%
2020年5月4日,1.2442,1.2499,1.2504,1.2405,-0.48%
2020年5月1日,1.2502,1.2599,1.2602,1.2483,-0.71%
2020年4月30日,1.2592,1.2468,1.2643,1.2428,1.03%
2020年4月29日,1.2464,1.2425,1.2487,1.2388,0.35%
2020年4月28日,1.2421,1.2432,1.2519,1.2404,-0.06%
2020年4月27日,1.2428,1.2369,1.2456,1.2359,0.49%
